time_sec,temperature_f
10,71.20
20,71.20
30,71.02
40,71.92
50,97.48
60,121.60
70,133.84
80,137.80
90,139.60
100,137.44
110,132.76
120,127.72
130,127.00
140,130.42
150,137.08
160,140.86
170,142.48
180,144.64
190,148.06
200,151.30
210,152.38
220,150.94
230,148.06
240,146.26
250,143.02
260,138.70
270,135.64
280,136.00
290,137.80
300,140.86
310,139.96
320,136.00
330,131.68
340,127.54
350,123.22
360,119.26
370,115.48
380,112.06
390,108.64
400,105.58
410,102.88
420,100.18
430,97.84
440,95.50
450,93.52
460,91.90
470,90.10
480,88.30
490,86.86
500,85.60
510,83.98
520,82.72
530,81.64
540,80.56
550,79.84
560,78.94
570,78.22
580,77.50
590,76.96
600,76.42
610,75.70
620,75.16
630,74.80
640,74.44
650,73.90
660,73.36
670,73.18
680,72.82
690,72.46
700,72.28
710,71.92
720,71.74
730,71.56
740,71.38
750,71.02
760,70.84
770,70.66
780,70.48
790,70.48
800,70.30
810,70.12
820,69.94
830,69.94
