time_sec,temperature_f
10,70.48
20,70.66
30,70.84
40,70.84
50,70.12
60,69.04
70,67.78
80,66.34
90,64.90
100,63.64
110,62.20
120,60.94
130,59.86
140,58.60
150,57.52
160,56.44
170,55.54
180,54.64
190,53.74
200,52.84
210,52.12
220,51.40
230,50.68
240,49.96
250,49.42
260,48.88
270,48.34
280,47.98
290,47.62
300,47.26
310,46.90
320,46.54
330,46.36
340,46.36
350,47.44
360,48.88
370,50.50
380,51.94
390,53.38
400,54.46
410,55.72
420,56.62
430,57.70
440,58.60
450,59.50
460,60.40
470,60.94
480,61.66
490,62.20
500,62.74
510,63.10
520,63.64
530,64.00
540,64.36
550,64.72
560,65.08
570,65.26
580,65.62
590,65.80
600,66.16
610,66.34
