time,speed,rpm,
0,51,0,0
0.2,52,0,0.2
0.4,53,0,0.4
0.6,54,0,0.6
0.8,55,0,0.8
1,56,0,1
1.2,57,0,1.2
1.4,58,0,1.4
1.6,59,0,1.6
1.8,60,0,1.8
2,61,0,2
2.2,62,0,2.2
2.4,63,0,2.4
2.6,64,0,2.6
2.8,65,0,2.8
3,66,0,3
3.2,67,0,3.2
3.4,68,0,3.4
3.6,69,0,3.6
3.8,70,0,3.8
4,71,0,4
4.2,72,0,4.2
4.4,73,0,4.4
4.6,74,0,4.6
4.8,75,0,4.8
5,76,0,5
5.2,77,1632,5.2
5.4,78,3636,5.4
5.6,79,3720,5.6
5.8,80,3902,5.8
6,81,4000,6
6.2,82,4000,6.2
6.4,83,4000,6.4
6.6,84,4000,6.6
6.8,85,4102,6.8
7,86,4102,7
7.2,87,4102,7.2
7.4,88,4210,7.4
7.6,89,4210,7.6
7.8,90,4210,7.8
8,91,4210,8
8.2,92,4324,8.2
8.4,93,4210,8.4
8.6,94,4324,8.6
8.8,95,4324,8.8
9,96,4324,9
9.2,97,4444,9.2
9.4,98,4444,9.4
9.6,99,4444,9.6
9.8,100,4571,9.8
10,101,4571,10
10.2,102,4571,10.2
10.4,103,4571,10.4
10.6,104,4571,10.6
10.8,105,4571,10.8
11,106,4705,11
11.2,107,4705,11.2
11.4,108,4705,11.4
11.6,109,4848,11.6
11.8,110,4848,11.8
12,111,4848,12
12.2,112,4848,12.2
12.4,113,4848,12.4
12.6,114,4848,12.6
12.8,115,4848,12.8
13,116,4848,13
13.2,117,5000,13.2
13.4,118,5000,13.4
13.6,119,5000,13.6
13.8,120,5000,13.8
14,121,5000,14
14.2,122,5161,14.2
14.4,123,5161,14.4
14.6,124,5161,14.6
14.8,125,5161,14.8
15,126,5161,15
15.2,127,5333,15.2
15.4,128,5161,15.4
15.6,129,5161,15.6
15.8,130,5161,15.8
16,131,5333,16
16.2,132,5333,16.2
16.4,133,5333,16.4
16.6,134,5333,16.6
16.8,135,5517,16.8
17,136,5333,17
17.2,137,5333,17.2
17.4,138,5517,17.4
17.6,139,5517,17.6
